iter	Passed	Remaining
777	38735	11053
778	38783	11002
779	38823	10950
780	38867	10898
781	38908	10846
782	38948	10794
783	38989	10742
784	39027	10689
785	39077	10639
786	39122	10588
787	39169	10537
788	39211	104867789	39259	104357790	39308	103867791	39350	103347792	39394	102879793	39435	102794794	39478	10795	795	39522	1796	38358	9770
797	38402	9720
798	38446	9671
799	38494	9623
800	38537	9574
801	38588	9526
802	38635	9478
803	38684	9430
804	38734	9382
805	38778	9333
806	38825	9285
807	38875	9237
808	38928	9190
809	38977	9142
810	39025	9094
811	39071	9046
812	39108	8995
813	39160	8948
814	39215	8901
815	39266	8854
816	39314	8806
817	39362	8757
818	39409	8709
819	39450	8659
820	39498	8611
821	39545	8563
822	39589	8514
823	39635	8465
824	39682	8417
825	39733	8370
826	39778	8321
827	39831	8274
828	39884	8227
829	39936	8179
830	39982	8131
831	40032	8083
832	40092	8037
833	40151	7991
834	40196	7942
835	40248	7895
836	40296	7847
837	40350	7800
838	40400	7752
839	40446	7704
840	40492	7655
841	40537	7606
842	40579	7557
843	40622	7508
844	40659	7458
845	40699	7408
846	40736	7358
847	40775	7308
848	40815	7259
849	40854	7209
850	40896	7160
851	40936	7111
852	40978	7061
853	41021	7013
854	41064	6964
855	41102	6914
856	41140	6864
857	41183	6815
858	41222	6766
859	41267	6717
860	41312	6669
861	41361	6621
862	41404	6572
863	41452	6524
864	41515	6479
865	41595	6436
866	41650	6389
867	41689	6339
868	41728	6290
869	41771	6241
870	41814	6192
871	418871	4314872	419872	4320873	419873	4325874	419874	4330875	420875	4335876	420876	4340877	421877	4345878	421878	43499	5987
879	43545	5938
880	43597	5888
881	43647	5839
882	43695	5789
883	43742	5740
884	43812	5693
885	43871	5644
886	43926	5596
887	43982	5547
888	44034	5498
889	44079	5448
890	44131	5398
891	44180	5349
892	44233	5300
893	44282	5250
894	44338	5201
895	44385	5151
896	44437	5102
897	44486	5053
898	44542	5004
899	44590	4954
900	44637	4904
901	44684	4854
902	44746	4806
903	44805	4758
904	44881	4711
905	45000	4668
906	45067	4621
907	45130	4572
908	45209	4525
909	45290	4479
910	45371	4432
911	45449	4385
912	45529	4338
913	45615	4292
914	45715	4246
915	45834	4203
916	45892	4153
917	45949	4104
918	45997	4054
919	46046	4004
920	46095	3953
921	46148	3904
922	46196	3853
923	46248	3803
924	46302	3754
925	46359	3704
926	46410	3654
927	46459	3604
928	46504	3554
929	46555	3504
930	46607	3454
931	46657	3404
932	46703	3353
933	46747	3303
934	46795	3253
935	46841	3202
936	46886	3152
937	46940	3102
938	46991	3052
939	47038	3002
940	47084	2952
941	47130	2901
942	47181	2851
943	47231	2801
944	47285	2752
945	47336	2702
946	47389	2652
947	47445	2602
948	47495	2552
949	47540	2502
950	47589	2452
951	47638	2401
952	47689	2351
953	47732	2301
954	47781	2251
955	47834	2201
956	47890	2151
957	47948	2102
958	47994	2051
959	48045	2001
960	48096	1951
961	48144	1901
962	48195	1851
963	48244	1801
964	48296	1751
965	48355	1701
966	48400	1651
967	48446	1601
968	48493	1551
969	48545	1501
970	48595	1451
971	48646	1401
972	48691	1351
973	48731	1300
974	48767	1250
975	48806	1200
976	48843	1149
977	48881	1099
978	48918	1049
979	48957	999
980	48995	948
981	49035	898
982	49111	849
983	49156	799
984	49225	749
985	49283	699
986	49331	649
987	49375	599
988	49415	549
989	49453	499
990	49492	449
991	49531	399
992	49565	349
993	49603	299
994	49640	249
995	49680	199
996	49724	149
997	49760	99
998	49798	49
999	49832	0
